code_ucd	code_ucd_precedent	code_ucd_suivant	top_inscription	laboratoire	date_source_doc	type_source_doc	date_maj	libelle_long_ucd	conditionnement	observation	etat	rh	ph	pih	sp	ps	libelle_court_specialite	libelle_long_rcp	code_forme	libelle_forme	code_forme_complement	libelle_forme_complement	dosage	unite_dosage	voie_administration	code_atc	libelle_atc	code_ephmra	libelle_ephmra
9076080			0	SCHERING-PLOUGH	2009-04-29	JO	2009-12-30	PROGLICEM 25 mg	gelule	NA	D	N	O	N	N	N	PROGLICEM 25MG GELULE	PROGLICEM 25 MG, GELULE	21	GELULE	328	GELULE ORAL(E) OUVERTURE POSSIBLE				V03AH01	DIAZOXIDE	A16A	AUTRES MEDICAMENTS DES VOIES DIGESTIVES ET DU METABOLISME
9085647			0	PFIZER HOLDING FRANCE	2009-04-29	JO	2009-12-30	SOLUMEDROL 500 MG	Poudre et solvant pour solution injectable	Medicament retrocede pris en charge a titre derogatoire (JO du 28/07/04 - decision du 15/07/04)	S	O	N	N	N	N	SOLUMEDROL 500MG PDR ET SOL INJ	SOLUMEDROL 500 MG, POUDRE ET SOLVANT POUR SOLUTION INJECTABLE	44	POUDRE	314	POUDRE ET SOLVANT POUR SOLUTION INJ	7.5000	MG	ORALE	H02AB04	METHYLPREDNISOLONE	H02A1	CORTICOSTEROIDES INJECTABLES NON ASSOCIES
9087959			0	FERRING	2009-04-29	JO	2009-12-30	STIMU-TSH 125 MICROGRAMMES/1 ML	Solution injectable	Medicament retrocede pris en charge a titre derogatoire (JO du 28/07/04 - decision du 15/07/04)	S	N	N	N	N	N	STIMU TSH 0,25MG/2ML SOL INJ	STIMU-TSH 125 MICROGRAMMES/1 ML, SOLUTION INJECTABLE	48	SOLUTION	295	SOLUTION INJECTABLE				V04CJ02	PROTIRELINE	T02X9	TOUT AUTRE TEST DIAGNOSTIQUE
9088284			0	PANPHARMA	2009-04-29	JO	2009-12-30	STREPTOMYCINE PANPHARMA 1 g	1 Boite de 1, poudre pour preparation injectable	NA	D	N	O	N	N	N	STREPTOMYCINE PANPHARMA 1G PDR INJ	STREPTOMYCINE PANPHARMA 1 g, poudre pour preparation injectable	44	POUDRE	568	POUDRE POUR PREPARATION INJECTABLE				J01GA01	STREPTOMYCINE	J04A1	ANTITUBERCULEUX, UNE SEULE SUBSTANCE ACTIVE
9093061			0	SERB	2009-04-29	JO	2009-12-30	TIBERAL 500 MG	Comprimes	Medicament retrocede pris en charge a titre derogatoire (JO du 28/07/04 - decision du 15/07/04)	D	N	N	N	N	N	TIBERAL 500 MG CPR	TIBERAL500 MG, COMPRIME	15	COMPRIME	308	COMPRIME ENROBE ORAL(E)				P01AB03	ORNIDAZOLE	P01A	AMOEBICIDES
9106993			0	MEDA PHARMA	2010-10-19	JO	2010-10-19	ANCOTIL 1 P. 100	solution pour perfusion en flacon de 250 ml	NA	D	N	O	N	N	N	ANCOTIL 2,5G/250ML SOL INJ	ANCOTIL 1 POUR CENT, SOLUTION POUR PERFUSION	48	SOLUTION	296	SOLUTION POUR PERFUSION	10.0000	G	ORALE	J02AX01	FLUCYTOSINE	J02A	AGENT SYSTEMIQUE POUR INFECTIONS FONGIQUES
9109000			0	GENZYME SAS	2005-05-20	JO	2008-05-22	THYMOGLOBULINE 5 mg/ml	poudre+solvant	NA	S	O	N	N	N	N	THYMOGLOBULINE 5MG/ML PDR+SOL	THYMOGLOBULINE 5 MG/ML, POUDRE ET SOLVANT POUR SOLUTION POUR PERFUSION	44	POUDRE	387	POUDRE ET SOLVANT POUR SOLUTION PR PERF				L04AA04	IMMUNOGLOBULINE ANTI THYMOCYTE (LAPIN)	L04A	IMMUNOSUPPRESSEUR
9109827			0	MEDA PHARMA	2011-11-29	JO	2011-12-02	NOVANTRONE 20 mg/10 ml	solution injectable pour perfusion	NA	D	N	O	N	O	O	NOVANTRONE 20 MG SOL INJ	NOVANTRONE 20 MG/10 ML, SOLUTION A DILUER POUR PERFUSION	48	SOLUTION	290	SOLUTION A DILUER POUR PERFUSION				L01DB07	MITOXANTRONE	L01D	ANTIBIOTIQUES ANTINEOPLASIQUES
9109862			0	SANOFI PASTEUR MSD SNC	2017-08-28	CNAMTS	2018-04-16	VACCIN TETANIQUE PASTEUR	SUSPENSION INJECTABLE EN SERINGUE PREREMPLIE (VACCIN TETANIQUE ABSORBE)	Voir note d'information N DGS/PP2/DGOS/PF2/DSS/1C/2017/258 du 28/08/2017 relative a la vente au public et au detail, a titre derogatoire et transitoire, par les pharmacies a usage interieur autorisees, de la specialite pharmaceutique VACCIN TETANIQUE PASTEUR, suspension injectable en seringue preremplie vaccin tetanique absorbe (anatoxine tetanique) et a ses conditions de prise en charge par l'assurance maladie dans ce cadre.	S	N	N	N	N	N	VACCIN TETANIQUE PASTEUR SUSP INJ	VACCIN TETANIQUE PASTEUR, SUSPENSION INJECTABLE EN SERINGUE PREREMPLIE, VACCIN TETANIQUE ADSORBE	50	SUSPENSION	281	SUSPENSION INJECTABLE				J07AM01	ANATOXINE TETANIQUE	J07A2	TETANOS
9117867			0	AVENTIS	2009-04-29	JO	2009-12-30	CISPLATYL 10 mg	poudre et solvant pour solution pour perfusion	NA	S	N	O	N	O	O	CISPLATYL 10MG/10ML PDR SOL INJ	CISPLATYL 10 MG, POUDRE ET SOLVANT POUR SOLUTION POUR PERFUSION	44	POUDRE	387	POUDRE ET SOLVANT POUR SOLUTION PR PERF				L01XA01	CISPLATINE	L01X2	DERIVES DU PLATINE
9118996			0	SCHERING-PLOUGH	2009-04-29	JO	2009-12-30	PROGLICEM 100 mg	gelule	NA	D	N	O	N	N	N	PROGLICEM 100MG GELULE	PROGLICEM 100 MG, GELULE	21	GELULE	328	GELULE ORAL(E) OUVERTURE POSSIBLE				V03AH01	DIAZOXIDE	A16A	AUTRES MEDICAMENTS DES VOIES DIGESTIVES ET DU METABOLISME
9119659			0	GLAXOSMITHKLINE	2009-04-29	JO	2009-12-30	RETROVIR 100 mg	gelule	NA	D	N	N	O	N	N	RETROVIR 100 MG GELULE	RETROVIR 100 MG, GELULE	21	GELULE	328	GELULE ORAL(E)				J05AF01	ZIDOVUDINE	J05C1	INHIBITEURS DE LA TRANSCRIPTASE REVERSE NUCLEOSIDIQUES ET NUCLEOTIDIQUES
9120651			0	EG LABO, EUROGENERICS	2009-04-29	JO	2009-12-30	ELDISINE 1 mg	poudre pour solution injectable	NA	D	N	O	N	O	O	ELDISINE 1MG PDR INJ	ELDISINE 1 MG, POUDRE POUR SOLUTION INJECTABLE	44	POUDRE	312	POUDRE POUR SOLUTION INJECTABLE				L01CA03	VINDESINE	L01C1	ANTICANCEREUX ALACALOIDES DE VINCA
9120668			0	EG LABO, EUROGENERICS	2009-04-29	JO	2009-12-30	ELDISINE 4 mg	poudre pour solution injectable	NA	S	N	O	N	O	O	ELDISINE 4MG PDR INJ	ELDISINE 4 MG, POUDRE POUR SOLUTION INJECTABLE	44	POUDRE	312	POUDRE POUR SOLUTION INJECTABLE				L01CA03	VINDESINE	L01C1	ANTICANCEREUX ALACALOIDES DE VINCA
9122348			0	MEDA PHARMA	2011-11-29	JO	2011-12-02	NOVANTRONE 10 mg/5 ml	solution injectable pour perfusion	NA	D	N	O	N	O	O	NOVANTRONE 10 MG SOL INJ	NOVANTRONE 10 MG/5 ML, SOLUTION A DILUER POUR PERFUSION	48	SOLUTION	290	SOLUTION A DILUER POUR PERFUSION				L01DB07	MITOXANTRONE	L01D	ANTIBIOTIQUES ANTINEOPLASIQUES
9123201			0	CENTRE SPECIALITES PHARMACEUTI	2009-04-29	JO	2009-12-30	ZANOSAR	lyophilisat pour preparation injectable	NA	D	N	O	N	O	O	ZANOSAR 1G PDR INJ	ZANOSAR, LYOPHILISAT POUR PREPARATION INJECTABLE	44	POUDRE	522	LYOPHILISAT POUR USAGE PARENTERAL				L01AD04	STREPTOZOCINE	L01A	AGENTS ALKYLANTS
9124442			0	GLAXOSMITHKLINE	2009-04-29	JO	2009-12-30	RETROVIR 250 mg	gelule	NA	D	N	N	O	N	N	RETROVIR 250 MG GELULE	RETROVIR 250 mg, gelule	21	GELULE	64	ORAL(E)				J05AF01	ZIDOVUDINE	J05C1	INHIBITEURS DE LA TRANSCRIPTASE REVERSE NUCLEOSIDIQUES ET NUCLEOTIDIQUES
9124494			0	GENOPHARM	2009-04-29	JO	2009-12-30	VEPESIDE 100 mg/5 ml	solution injectable pour perfusion	NA	S	N	O	N	O	O	VEPESIDE 100MG/5ML SOL INJ	VEPESIDE 100 MG/5 ML, SOLUTION INJECTABLE POUR PERFUSION	48	SOLUTION	295	SOLUTION INJECTABLE SOLUTION POUR PERFUS				L01CB01	ETOPOSIDE	L01C9	AUTRES ANTICANCEREUX DERIVES DE PLANTES
9125157			0	SANOFI AVENTIS FRANCE	2009-04-29	JO	2009-12-30	TARGOCID 100 mg	lyophilisat et solution pour usage parenteral IV-IM	NA	D	N	O	N	N	N	TARGOCID 100 MG PDR ET SOL INJ	TARGOCID 100 MG, LYOPHILISAT ET SOLUTION POUR USAGE PARENTERAL	44	POUDRE	314	POUDRE ET SOLVANT POUR SOLUTION INJ POUD				J01XA02	TEICOPLANINE	J01X1	ANTIBACTERIENS GLYCOPEPTIDES
9125163			0	SANOFI AVENTIS FRANCE	2009-04-29	JO	2009-12-30	TARGOCID 200 mg	lyophilisat et solution pour usage parenteral IV-IM	NA	D	N	O	N	N	N	TARGOCID 200 MG PDR ET SOL INJ	TARGOCID 200 MG, LYOPHILISAT ET SOLUTION POUR USAGE PARENTERAL	44	POUDRE	314	POUDRE ET SOLVANT POUR SOLUTION INJ POUD				J01XA02	TEICOPLANINE	J01X1	ANTIBACTERIENS GLYCOPEPTIDES
9125186			0	SANOFI AVENTIS FRANCE	2009-04-29	JO	2009-12-30	TARGOCID 400 mg	lyophilisat et solution pour usage parenteral IV-IM	NA	D	N	O	N	N	N	TARGOCID 400 MG PDR ET SOL INJ	TARGOCID 400 MG, LYOPHILISAT ET SOLUTION POUR USAGE PARENTERAL	44	POUDRE	314	POUDRE ET SOLVANT POUR SOLUTION INJ POUD				J01XA02	TEICOPLANINE	J01X1	ANTIBACTERIENS GLYCOPEPTIDES
9130945			0	ROCHE	2018-02-01	JO	2018-02-02	CYMEVAN 500 mg	lyophilisat pour usage parenteral (perfusion)	NA	D	N	N	N	N	N	CYMEVAN 500MG PDR INJ	CYMEVAN 500 mg, poudre pour solution a diluer pour perfusion	44	POUDRE	322	POUDRE POUR SOLUTION POUR PERFUSION				J05AB06	GANCICLOVIR	J05B3	ANTIVIRAUX CONTRE L'HERPES
9134110			0	PIERRE FABRE MEDICAMENT	2009-04-29	JO	2009-12-30	VINCRISTINE PIERRE FABRE 1 MG/ML	Solution injectable	Medicament retrocede pris en charge a titre derogatoire (JO du 28/07/04 - decision du 15/07/04)	S	N	O	N	N	N	VINCRISTINE P FABRE 1MG/1ML SOL	VINCRISTINE PIERRE FABRE MEDICAMENT 1 MG/1 ML, SOLUTION INJECTABLE (IV)	48	SOLUTION	295	SOLUTION INJECTABLE				L01CA02	VINCRISTINE	L01C1	ANTICANCEREUX ALACALOIDES DE VINCA
9136876			0	AVENTIS	2009-04-29	JO	2009-12-30	CISPLATYL 50 mg	solution injectable en flacon	NA	S	N	O	N	O	O	CISPLATYL 50MG/100ML SOL INJ	CISPLATYL 50 MG, SOLUTION INJECTABLE IV	48	SOLUTION	295	SOLUTION INJECTABLE				L01XA01	CISPLATINE	L01X2	DERIVES DU PLATINE
9137172			0	PIERRE FABRE MEDICAMENT	2010-02-19	JO	2010-02-19	NAVELBINE 10 mg/1 ml	solution injectable en flacon	NA	D	N	O	N	O	O	NAVELBINE 10 MG SOL INJ	NAVELBINE 10 MG/1 ML, SOLUTION INJECTABLE EN FLACON	48	SOLUTION	295	SOLUTION INJECTABLE				L01CA04	VINORELBINE	L01C1	ANTICANCEREUX ALACALOIDES DE VINCA
9137189			0	PIERRE FABRE MEDICAMENT	2010-02-19	JO	2010-02-19	NAVELBINE 50 mg/5 ml	solution injectable en flacon	NA	D	N	O	N	O	O	NAVELBINE 50 MG SOL INJ	NAVELBINE 50 MG/5 ML, SOLUTION INJECTABLE EN FLACON	48	SOLUTION	295	SOLUTION INJECTABLE				L01CA04	VINORELBINE	L01C1	ANTICANCEREUX ALACALOIDES DE VINCA
9137551			0	FERRING SAS	2009-04-29	JO	2009-12-30	MINIRIN 4 mg/ml	solution injectable en ampoule	NA	D	N	N	N	N	N	MINIRIN 4 MICROGRAMMES SOL INJ	MINIRIN 4 microgrammes/1 ml, solution injectable	48	SOLUTION	295	SOLUTION INJECTABLE	25.0000	MICROGRAMME(S)	NASALE	H01BA02	DESMOPRESSINE	H04D	HORMONES ANTIDIURETIQUES
9137580			0	LES LABORATOIRES SERVIER	2015-02-24	JO	2015-02-26	MUPHORAN	poudre et solution pour usage parenteral a diluer (perfusion)	NA	D	N	O	N	O	O	MUPHORAN 200 MG PDR ET SOL INJ	MUPHORAN, poudre et solution pour usage parenteral a diluer (perfusion)	44	POUDRE	567	POUDRE ET SOL POUR USAGE PARENTERAL				L01AD05	FOTEMUSTINE	L01A	AGENTS ALKYLANTS
9143793			0	JANSSEN-CILAG SA	2011-04-06	JO	2011-04-21	PREPULSID ENFANTS ET NOURRISSONS 1 mg/ml (cisapride)	suspension buvable en flacon de 100 ml	NA	S	N	O	N	O	O	PREPULSID 1MG/ML ENF NR BUV	PREPULSID ENFANT NOURRISSON 1MG/ML, SUSPENSION BUVABLE EN FLACON	50	SUSPENSION	284	SUSPENSION BUVABLE	30.0000	MG	RECTALE	A03FA02	CISAPRIDE	A03F	MEDICAMENTS DE LA MOTRICITE DIGESTIVE
9144321			0	PFIZER PFE FRANCE	2018-11-13	JO	2018-11-21	TRIFLUCAN 2 mg/ml	solution pour perfusion en flacon de 100 ml	NA	D	N	O	N	N	N	TRIFLUCAN 200 MG SOL INJ	TRIFLUCAN 2 mg/ml, solution pour perfusion	48	SOLUTION	296	SOLUTION POUR PERFUSION				J02AC01	FLUCONAZOLE	J02A	AGENT SYSTEMIQUE POUR INFECTIONS FONGIQUES
9144338			0	PFIZER PFE FRANCE	2018-11-13	JO	2018-11-21	TRIFLUCAN 2 mg/ml	solution pour perfusion en flacon de 50 ml	NA	D	N	O	N	N	N	TRIFLUCAN 100 MG SOL INJ	TRIFLUCAN 100 MG/50 ML, SOLUTION POUR PERFUSION	48	SOLUTION	296	SOLUTION POUR PERFUSION				J02AC01	FLUCONAZOLE	J02A	AGENT SYSTEMIQUE POUR INFECTIONS FONGIQUES
9145332			0	PFIZER	2010-02-19	JO	2010-02-19	FARMORUBICINE 10 mg	lyophilisat pour usage parenteral	NA	D	N	O	N	O	O	FARMORUBICINE 10 MG PDR INJ DR	FARMORUBICINE 10 MG, POUDRE POUR SOLUTION POUR PERFUSION	44	POUDRE	322	POUDRE POUR SOLUTION POUR PERFUSION				L01DB03	EPIRUBICINE	L01D	ANTIBIOTIQUES ANTINEOPLASIQUES
9145349			0	PFIZER	2010-02-19	JO	2010-02-19	FARMORUBICINE 10 mg/5 ml	solution injectable pour perfusion en flacon verre	NA	S	N	O	N	O	O	FARMORUBICINE 10MG/5ML INJ FV	FARMORUBICINE 10 MG/5 ML, SOLUTION POUR PERFUSION	48	SOLUTION	296	SOLUTION POUR PERFUSION				L01DB03	EPIRUBICINE	L01D	ANTIBIOTIQUES ANTINEOPLASIQUES
9145355			0	PFIZER	2010-02-19	JO	2010-02-19	FARMORUBICINE 20 mg/10 ml	solution injectable pour perfusion en flacon verre	NA	S	N	O	N	O	O	FARMORUBICINE 20MG/10ML INJ FV	FARMORUBICINE 20 MG/10 ML, SOLUTION POUR PERFUSION	48	SOLUTION	296	SOLUTION POUR PERFUSION				L01DB03	EPIRUBICINE	L01D	ANTIBIOTIQUES ANTINEOPLASIQUES
9145361			0	PFIZER	2010-02-19	JO	2010-02-19	FARMORUBICINE 50 mg	lyophilisat pour usage parenteral	NA	D	N	O	N	O	O	FARMORUBICINE 50 MG PDR INJ DR	FARMORUBICINE 50 MG, POUDRE POUR SOLUTION POUR PERFUSION	44	POUDRE	322	POUDRE POUR SOLUTION POUR PERFUSION				L01DB03	EPIRUBICINE	L01D	ANTIBIOTIQUES ANTINEOPLASIQUES
9145378			0	PFIZER	2010-02-19	JO	2010-02-19	FARMORUBICINE 50 mg/25 ml	solution injectable pour perfusion en flacon verre	NA	S	N	O	N	O	O	FARMORUBICINE 50MG/25ML INJ FV	FARMORUBICINE 50 MG/25 ML, SOLUTION POUR PERFUSION	48	SOLUTION	296	SOLUTION POUR PERFUSION				L01DB03	EPIRUBICINE	L01D	ANTIBIOTIQUES ANTINEOPLASIQUES
9145444			0	DAKOTA PHARM	2009-08-11	JO	2009-12-30	CHLORHYDRATE DE DOXORUBICINE DAKOTA PHARM 10 MG	lyophilisat pour usage parenteral en flacon	NA	S	N	O	N	O	O	DOXORUBICINE DKT 10MG PDR INJ	CHLORHYDRATE DE DOXORUBICINE DAKOTA PHARM 10 MG, LYOPHILISAT POUR USAGE PARENTERAL EN FLACON	44	POUDRE	522	LYOPHILISAT POUR USAGE PARENTERAL				L01DB01	DOXORUBICINE	L01D	ANTIBIOTIQUES ANTINEOPLASIQUES
9145450			0	DAKOTA PHARM	2009-08-11	JO	2009-12-30	CHLORHYDRATE DE DOXORUBICINE DAKOTA PHARM 50 MG	lyophilisat pour usage parenteral en flacon	NA	S	N	O	N	O	O	DOXORUBICINE DKT 50MG PDR INJ	CHLORHYDRATE DE DOXORUBICINE DAKOTA PHARM 50 MG, LYOPHILISAT POUR USAGE PARENTERAL EN FLACON	44	POUDRE	522	LYOPHILISAT POUR USAGE PARENTERAL				L01DB01	DOXORUBICINE	L01D	ANTIBIOTIQUES ANTINEOPLASIQUES
9149063			0	DAKOTA PHARM	2009-04-29	JO	2009-12-30	CISPLATINE DAKOTA PHARM 10 mg	lyophilisat pour usage parenteral en flacon	NA	S	N	O	N	O	O	CISPLATINE DKT 10MG PDR INJ	CISPLATINE DAKOTA PHARM 10 MG, LYOPHILISAT POUR USAGE PARENTERAL EN FLACON	44	POUDRE	522	LYOPHILISAT POUR USAGE PARENTERAL				L01XA01	CISPLATINE	L01X2	DERIVES DU PLATINE
9149086			0	SANOFI AVENTIS FRANCE	2009-04-29	JO	2009-12-30	CISPLATINE DAKOTA PHARM 10 mg/20 ml	solution injectable pour perfusion en flacon	NA	S	N	O	N	O	O	CISPLATINE DKT 10MG/20ML INJ	CISPLATINE DAKOTA PHARM 10 MG/20 ML, SOLUTION INJECTABLE POUR PERFUSION EN FLACON	48	SOLUTION	295	SOLUTION INJECTABLE SOLUTION POUR PERFUS				L01XA01	CISPLATINE	L01X2	DERIVES DU PLATINE
9149092			0	DAKOTA PHARM	2009-04-29	JO	2009-12-30	CISPLATINE DAKOTA PHARM 25 mg	lyophilisat pour usage parenteral en flacon	NA	S	N	O	N	O	O	CISPLATINE DKT 25MG PDR INJ	CISPLATINE DAKOTA PHARM 25 MG, LYOPHILISAT POUR USAGE PARENTERAL EN FLACON	44	POUDRE	522	LYOPHILISAT POUR USAGE PARENTERAL				L01XA01	CISPLATINE	L01X2	DERIVES DU PLATINE
9149100			0	SANOFI AVENTIS FRANCE	2009-04-29	JO	2009-12-30	CISPLATINE DAKOTA PHARM 25 mg/50 ml	solution injectable pour perfusion en flacon	NA	S	N	O	N	O	O	CISPLATINE DKT 25MG/50ML INJ	CISPLATINE DAKOTA PHARM 25 MG/50 ML, SOLUTION INJECTABLE POUR PERFUSION EN FLACON	48	SOLUTION	295	SOLUTION INJECTABLE SOLUTION POUR PERFUS				L01XA01	CISPLATINE	L01X2	DERIVES DU PLATINE
9149117			0	DAKOTA PHARM	2009-04-29	JO	2009-12-30	CISPLATINE DAKOTA PHARM 50 mg	lyophilisat pour usage parenteral en flacon	NA	S	N	O	N	O	O	CISPLATINE DKT 50MG PDR INJ	CISPLATINE DAKOTA PHARM 50 MG, LYOPHILISAT POUR USAGE PARENTERAL EN FLACON	44	POUDRE	522	LYOPHILISAT POUR USAGE PARENTERAL				L01XA01	CISPLATINE	L01X2	DERIVES DU PLATINE
9149123			0	SANOFI AVENTIS FRANCE	2009-04-29	JO	2009-12-30	CISPLATINE DAKOTA PHARM 50 mg/100 ml	solution injectable pour perfusion en flacon	NA	S	N	O	N	O	O	CISPLATINE DKT 50MG/100ML	CISPLATINE DAKOTA PHARM 50 MG/100 ML, SOLUTION INJECTABLE POUR PERFUSION EN FLACON	48	SOLUTION	295	SOLUTION INJECTABLE SOLUTION POUR PERFUS				L01XA01	CISPLATINE	L01X2	DERIVES DU PLATINE
9149821			0	LEO FRANCE SA	2009-04-29	JO	2009-12-30	UN-ALFA 1 microgrammes/0,5 ml	solution injectable IV en ampoule	NA	D	N	O	N	O	N	UN ALFA 1 MICROGRAMME SOL INJ	UN-ALFA 1 MICROGRAMME/0,5 ML, SOLUTION INJECTABLE IV EN AMPOULE	48	SOLUTION	295	SOLUTION INJECTABLE	1.0000	MICROGRAMME(S)	ORALE	A11CC03	ALFACALCIDOL	A11C2	VITAMINE D
9149838			0	LEO FRANCE SA	2009-04-29	JO	2009-12-30	UN-ALFA 2 microgrammes/1 ml	solution injectable IV en ampoule	NA	D	N	O	N	O	N	UN ALFA 2 MICROGRAMMES/1ML SOL INJ	UN-ALFA 2 MICROGRAMMES/1 ML, SOLUTION INJECTABLE IV EN AMPOULE	48	SOLUTION	295	SOLUTION INJECTABLE	1.0000	MICROGRAMME(S)	ORALE	A11CC03	ALFACALCIDOL	A11C2	VITAMINE D
9153395			0	PFIZER	2017-12-19	JO	2017-12-26	ZAVEDOS 10 mg	lyophilisat pour usage parenteral (IV) en flacon	NA	D	N	O	N	O	O	ZAVEDOS 10MG PDR INJ	ZAVEDOS 10 MG, POUDRE POUR SOLUTION POUR PERFUSION	44	POUDRE	322	POUDRE POUR SOLUTION POUR PERFUSION				L01DB06	IDARUBICINE	L01D	ANTIBIOTIQUES ANTINEOPLASIQUES
9153403			0	PFIZER	2017-12-19	JO	2017-12-26	ZAVEDOS 5 mg	lyophilisat pour usage parenteral (IV) en flacon	NA	D	N	O	N	O	O	ZAVEDOS 5 MG PDR INJ	ZAVEDOS 5 MG, POUDRE POUR SOLUTION POUR PERFUSION	44	POUDRE	322	POUDRE POUR SOLUTION POUR PERFUSION				L01DB06	IDARUBICINE	L01D	ANTIBIOTIQUES ANTINEOPLASIQUES
